* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	84.679746
20.290907	84.790041
20.586045	84.901941
20.885476	85.015469
21.189262	85.130648
21.497467	85.247502
21.810155	85.366056
22.127391	85.486334
22.449241	85.608362
22.775773	85.732164
23.107054	85.857768
23.443154	85.985198
23.784142	86.114482
24.130091	86.245646
24.481071	86.378719
24.837156	86.513726
25.198421	86.650698
25.564940	86.789662
25.936791	86.930647
26.314050	87.073683
26.696797	87.218799
27.085111	87.366026
27.479073	87.515394
27.878765	87.666936
28.284271	87.820681
28.695675	87.976662
29.113064	88.134913
29.536523	88.254650
29.966142	88.360304
30.402009	88.467494
30.844217	88.576243
31.292856	88.686575
31.748021	88.798511
32.209807	88.912075
32.678309	89.027291
33.153626	89.144182
33.635857	89.262774
34.125101	89.383091
34.621462	89.505158
35.125043	89.629001
35.635949	89.754645
36.154286	89.882116
36.680162	90.011442
37.213687	90.142648
37.754973	90.275763
38.304131	90.399100
38.861278	90.492300
39.426528	90.586855
40.000000	90.682785
40.581813	90.780111
41.172089	90.878852
41.770951	90.979029
42.378524	91.080664
42.994934	91.183777
43.620309	91.288390
44.254781	91.394524
44.898482	91.482077
45.551545	91.563242
46.214108	91.645587
46.886308	91.729129
47.568285	91.813887
48.260181	91.899878
48.962142	91.987119
49.674312	92.075629
50.396842	92.106241
51.129881	92.123996
51.873582	92.142010
52.628101	92.160286
53.393594	92.178827
54.170222	92.263669
54.958146	92.405156
55.757531	92.548700
56.568542	92.694333
57.391351	92.842084
58.226127	92.969871
59.073046	93.040337
59.932283	93.111828
60.804018	93.184358
61.688433	93.257944
62.585712	93.332524
63.496042	93.352675
64.419613	93.373119
65.356618	93.393860
66.307252	93.414903
67.271713	93.465572
68.250203	93.563496
69.242925	93.662844
70.250086	93.763638
71.271897	93.865897
72.308571	93.969644
73.360323	94.074900
74.427374	94.181686
75.509945	94.290026
76.608262	94.399942
77.722555	94.511457
78.853056	94.624594
80.000000	94.739376
81.163627	94.855828
82.344179	94.973973
83.541903	95.093837
84.757048	95.174286
85.989867	95.224900
87.240619	95.276250
88.509563	95.328347
89.796964	95.381202
91.103091	95.434826
92.428216	95.489230
93.772615	95.544425
95.136569	95.600423
96.520362	95.657235
97.924283	95.714874
99.348625	95.773351
100.793684	95.832679
102.259762	95.892869
103.747164	95.922861
105.256202	95.941886
106.787188	95.961187
108.340444	95.980769
109.916292	96.000635
111.515061	96.020791
113.137085	96.041240
114.782702	96.061986
116.452255	96.083034
118.146092	96.104388
119.864566	96.126053
121.608036	96.148033
123.376866	96.170333
125.171424	96.192957
126.992084	96.158130
128.839227	96.115880
130.713236	96.073015
132.614504	96.029527
134.543426	95.985406
136.500406	95.940643
138.485850	95.903596
140.500173	95.885332
142.543795	95.866803
144.617142	95.848004
146.720647	95.828932
148.854748	95.809582
151.019890	95.789950
153.216525	95.770033
155.445111	95.749827
157.706112	95.729326
160.000000	95.708528
162.327254	95.687427
164.688358	95.666018
167.083805	95.644299
169.514095	95.622264
171.979734	95.599908
174.481237	95.577227
177.019125	95.554216
179.593928	95.530870
182.206182	95.496945
184.856431	95.460727
187.545230	95.424280
190.273138	95.388394
