* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	50.076754
20.290907	50.212099
20.586045	50.349411
20.885476	50.488721
21.189262	50.630058
21.497467	50.765999
21.810155	50.898412
22.127391	51.030749
22.449241	51.163138
22.775773	51.295508
23.107054	51.427874
23.443154	51.560277
23.784142	51.665717
24.130091	51.797584
24.481071	51.929972
24.837156	52.034927
25.198421	52.164899
25.564940	52.272290
25.936791	52.377962
26.314050	52.502721
26.696797	52.614562
27.085111	52.719531
27.479073	52.840556
27.878765	52.947084
28.284271	53.053613
28.695675	53.160144
29.113064	53.271749
29.536523	53.376718
29.966142	53.481691
30.402009	53.586665
30.844217	53.711036
31.292856	53.799315
31.748021	53.905829
32.209807	54.012344
32.678309	54.118862
33.153626	54.243709
33.635857	54.331901
34.125101	54.453756
34.621462	54.558710
35.125043	54.651472
35.635949	54.757999
36.154286	54.864528
36.680162	54.971058
37.213687	55.077590
37.754973	55.184123
38.304131	55.272362
38.861278	55.370986
39.426528	55.467126
40.000000	55.555414
40.581813	55.661927
41.172089	55.731897
41.770951	55.820134
42.378524	55.926652
42.994934	55.996955
43.620309	56.084868
44.254781	56.170412
44.898482	56.243091
45.551545	56.330220
46.214108	56.396362
46.886308	56.462533
47.568285	56.541307
48.260181	56.608655
48.962142	56.674808
49.674312	56.734860
50.396842	56.793469
51.129881	56.851725
51.873582	56.912148
52.628101	56.968605
53.393594	57.021550
54.170222	57.083316
54.958146	57.138440
55.757531	57.184286
56.568542	57.233337
57.391351	57.286286
58.226127	57.334931
59.073046	57.381250
59.932283	57.434208
60.804018	57.484548
61.688433	57.522341
62.585712	57.560107
63.496042	57.597984
64.419613	57.635832
65.356618	57.669654
66.307252	57.702852
67.271713	57.735869
68.250203	57.771383
69.242925	57.809699
70.250086	57.853785
71.271897	57.897861
72.308571	57.954742
73.360323	58.020970
74.427374	58.087154
75.509945	58.159116
76.608262	58.246965
77.722555	58.317348
78.853056	58.405632
80.000000	58.486574
81.163627	58.563836
82.344179	58.646369
83.541903	58.722047
84.757048	58.792513
85.989867	58.867575
87.240619	58.924817
88.509563	58.984430
89.796964	59.033314
91.103091	59.077482
92.428216	59.121668
93.772615	59.159534
95.136569	59.192922
96.520362	59.222377
97.924283	59.249781
99.348625	59.276303
100.793684	59.298258
102.259762	59.317070
103.747164	59.336155
105.256202	59.351512
106.787188	59.365289
108.340444	59.379267
109.916292	59.393447
111.515061	59.401014
113.137085	59.406481
114.782702	59.412028
116.452255	59.417655
118.146092	59.423364
119.864566	59.429156
121.608036	59.435032
123.376866	59.440994
125.171424	59.447043
126.992084	59.450420
128.839227	59.444589
130.713236	59.438674
132.614504	59.432672
134.543426	59.426583
136.500406	59.420405
138.485850	59.414138
140.500173	59.407779
142.543795	59.401328
144.617142	59.391284
146.720647	59.373820
148.854748	59.356101
151.019890	59.337327
153.216525	59.315431
155.445111	59.293217
157.706112	59.269783
160.000000	59.245682
162.327254	59.222514
164.688358	59.200543
167.083805	59.178253
169.514095	59.158075
171.979734	59.137674
174.481237	59.117607
177.019125	59.098879
179.593928	59.079879
182.206182	59.061809
184.856431	59.045448
187.545230	59.028848
190.273138	59.012186
193.040725	58.997752
195.848567	58.983108
198.697250	58.968251
201.587368	58.953713
204.519524	58.940005
207.494329	58.926098
210.512403	58.911989
213.574377	58.897682
216.680888	58.883177
219.832584	58.868462
223.030122	58.853532
226.274170	58.837672
229.565404	58.821240
232.904509	58.804570
236.292183	58.788303
239.729132	58.772931
243.216073	58.757335
246.753732	58.741513
250.342848	58.729585
253.984168	58.718247
257.678453	58.706745
261.426473	58.695075
265.229008	58.683800
269.086853	58.678741
273.000811	58.673608
276.971700	58.668400
281.000346	58.663117
285.087590	58.657757
289.234284	58.652319
293.441294	58.646802
297.709496	58.641204
302.039780	58.635526
306.433050	58.629764
310.890221	58.624664
315.412224	58.619542
320.000000	58.614346
324.654507	58.609074
329.376716	58.603725
334.167610	58.598299
339.028190	58.592793
343.959469	58.587208
348.962474	58.581541
354.038251	58.575792
359.187855	58.566803
364.412363	58.556827
369.712863	58.546706
375.090460	58.536438
380.546277	58.526020
386.081450	58.515023
391.697134	58.503227
397.394500	58.491260
403.174736	58.479119
409.039048	58.466801
414.988657	58.457456
421.024807	58.448545
427.148753	58.439505
433.361775	58.430333
439.665167	58.421027
446.060244	58.411586
452.548340	58.418734
459.130807	58.429133
465.809019	58.439683
472.584367	58.450386
479.458265	58.461245
486.432146	58.475716
493.507464	58.492144
500.685695	58.508812
507.968337	58.527390
515.356906	58.549327
522.852945	58.571584
530.458016	58.599891
538.173706	58.629502
546.001623	58.662441
553.943399	58.697227
562.000691	58.735115
570.175180	58.778532
578.468569	58.822633
586.882588	58.866771
595.418991	58.912448
604.079560	58.965408
612.866100	59.017493
621.780442	59.061604
630.824447	59.113280
640.000000	59.166221
649.309014	59.219163
658.753431	59.272106
668.335221	59.325050
678.056380	59.377995
687.918938	59.430941
697.924949	59.483888
708.076501	59.536836
718.375711	59.585019
728.824726	59.627309
739.425726	59.665169
750.180921	59.681449
761.092554	59.693904
772.162900	59.706540
783.394268	59.719360
794.789000	59.721354
806.349472	59.712158
818.078095	59.702827
829.977315	59.693361
842.049613	59.683758
854.297507	59.674014
866.723550	59.685082
879.330334	59.705403
892.120489	59.726176
905.096680	59.770228
918.261614	59.831268
931.618037	59.897442
945.168733	59.969769
958.916529	60.058066
972.864291	60.146275
987.014928	60.242180
1001.371391	60.341061
1015.936673	60.452114
1030.713812	60.557084
1045.705890	60.662057
1060.916032	60.767200
1076.347412	60.891953
1092.003245	60.998485
1107.886798	61.105018
1124.001383	61.214271
1140.350359	61.319245
1156.937137	61.424620
1173.765175	61.529163
1190.837983	61.637645
1208.159120	61.739070
1225.732199	61.832387
1243.560885	61.938915
1261.648894	62.027216
1280.000000	62.115411
1298.618029	62.203682
1317.506863	62.291932
1336.670442	62.380160
1356.112761	62.469146
1375.837875	62.574987
1395.849898	62.663184
1416.153002	62.751456
1436.751422	62.839704
1457.649452	62.939100
1478.851452	63.044060
1500.361842	63.149023
1522.185107	63.281417
1544.325799	63.413780
1566.788535	63.546151
1589.577999	63.683865
1612.698944	63.838346
1636.156190	63.998124
1659.954630	64.157900
1684.099226	64.317678
1708.595013	64.477459
1733.447100	64.609857
1758.660669	64.742204
1784.240977	64.874606
1810.193360	65.006958
1836.523229	65.139337
1863.236074	65.271721
1890.337467	65.404077
1917.833058	65.563863
1945.728583	65.696264
1974.029857	65.856041
2002.742782	65.988411
2031.873347	66.093382
2061.427625	66.198355
2091.411780	66.303822
2121.832065	66.435662
2152.694823	66.568050
2184.006490	66.755247
2215.773596	66.942436
2248.002765	67.186971
2280.700718	67.451645
2313.874274	67.661636
2347.530351	67.926380
2381.675966	68.179978
2416.318240	68.394599
2451.464399	68.609222
2487.121769	68.769006
2523.297789	68.956175
2560.000000	69.131102
2597.236057	69.303164
2635.013726	69.496133
2673.340883	69.706069
2712.225522	69.970811
2751.675750	70.290377
2791.699796	70.609947
2832.306004	70.929523
2873.502844	71.249103
2915.298905	71.513863
2957.702904	71.778602
3000.723683	72.043344
3044.370214	72.308091
3088.651599	72.572842
3133.577071	72.833266
3179.155999	73.047533
3225.397888	73.257446
3272.312380	73.394840
3319.909260	73.490519
3368.198452	73.528271
3417.190027	73.520358
3466.894200	73.487111
3517.321337	73.355572
3568.481954	73.223183
3620.386720	73.023692
3673.046457	72.758939
3726.472148	72.488363
3780.674934	72.119781
3835.666117	71.703504
3891.457165	71.261350
3948.059713	70.754167
4005.485564	70.279484
4063.746693	69.749967
4122.855250	69.220471
4182.823560	68.786285
4243.664130	68.357066
4305.389646	67.982668
4368.012981	67.717913
4431.547192	67.583121
4496.005531	67.512570
4561.401437	67.575508
4627.748549	67.641666
4695.060701	67.718721
4763.351932	67.795971
4832.636481	67.840172
4902.928797	67.884223
4974.243539	67.861166
5046.595577	67.812430
5120.000000	67.742279
5194.472115	67.588477
5270.027452	67.401161
5346.681766	67.136424
5424.451043	66.816857
5503.351500	66.415623
5583.399591	65.995769
5664.612008	65.630730
5747.005687	65.359477
5830.597810	65.342654
5915.405808	65.472426
