* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	51.228070
20.290907	51.326502
20.586045	51.426366
20.885476	51.527683
21.189262	51.630473
21.497467	51.725458
21.810155	51.830666
22.127391	51.937177
22.449241	52.043690
22.775773	52.168484
23.107054	52.275019
23.443154	52.381556
23.784142	52.487613
24.130091	52.592563
24.481071	52.701111
24.837156	52.807626
25.198421	52.932443
25.564940	53.038980
25.936791	53.127180
26.314050	53.249747
26.696797	53.354700
27.085111	53.459656
27.479073	53.564613
27.878765	53.669573
28.284271	53.774536
28.695675	53.872864
29.113064	53.979396
29.536523	54.085931
29.966142	54.192466
30.402009	54.280679
30.844217	54.387199
31.292856	54.475462
31.748021	54.563723
32.209807	54.670239
32.678309	54.758471
33.153626	54.846779
33.635857	54.934971
34.125101	55.023237
34.621462	55.129770
35.125043	55.207320
35.635949	55.288016
36.154286	55.376223
36.680162	55.464479
37.213687	55.552752
37.754973	55.622719
38.304131	55.710958
38.861278	55.793999
39.426528	55.869171
40.000000	55.953801
40.581813	56.027390
41.172089	56.099895
41.770951	56.179756
42.378524	56.245932
42.994934	56.325620
43.620309	56.392044
44.254781	56.458203
44.898482	56.524391
45.551545	56.581643
46.214108	56.643080
46.886308	56.698530
47.568285	56.751473
48.260181	56.804416
48.962142	56.857360
49.674312	56.904377
50.396842	56.948514
51.129881	56.991529
51.873582	57.029327
52.628101	57.067091
53.393594	57.103618
54.170222	57.136690
54.958146	57.169744
55.757531	57.202981
56.568542	57.232331
57.391351	57.261892
58.226127	57.291170
59.073046	57.319963
59.932283	57.346326
60.804018	57.371878
61.688433	57.392045
62.585712	57.412506
63.496042	57.430570
64.419613	57.445968
65.356618	57.461589
66.307252	57.477438
67.271713	57.493693
68.250203	57.510192
69.242925	57.526930
70.250086	57.549852
71.271897	57.576368
72.308571	57.613027
73.360323	57.657177
74.427374	57.703382
75.509945	57.769530
76.608262	57.835707
77.722555	57.901911
78.853056	57.981819
80.000000	58.055242
81.163627	58.141625
82.344179	58.213468
83.541903	58.287678
