* Exported with UsyTrace, available at https://usyless.uk/trace
* Freq(Hz)	SPL(dB)
20.000000	84.484681
20.290907	84.592888
20.586045	84.702670
20.885476	84.814048
21.189262	84.927046
21.497467	85.041688
21.810155	85.157998
22.127391	85.275999
22.449241	85.395716
22.775773	85.517175
23.107054	85.640401
23.443154	85.765419
23.784142	85.892255
24.130091	86.020936
24.481071	86.151489
24.837156	86.283941
25.198421	86.418320
25.564940	86.554653
25.936791	86.692969
26.314050	86.833297
26.696797	86.975666
27.085111	87.120105
27.479073	87.266646
27.878765	87.415318
28.284271	87.566153
28.695675	87.719182
29.113064	87.874436
29.536523	88.031949
29.966142	88.191753
30.402009	88.353881
30.844217	88.518367
31.292856	88.685246
31.748021	88.854552
32.209807	89.026321
32.678309	89.200589
33.153626	89.377391
33.635857	89.556764
34.125101	89.720581
34.621462	89.802228
35.125043	89.885064
35.635949	89.969104
36.154286	90.054367
36.680162	90.140869
37.213687	90.228630
37.754973	90.317668
38.304131	90.408001
38.861278	90.499647
39.426528	90.592627
40.000000	90.686959
40.581813	90.782663
41.172089	90.879759
41.770951	90.978267
42.378524	91.078208
42.994934	91.179603
43.620309	91.282473
44.254781	91.386839
44.898482	91.492723
45.551545	91.600147
46.214108	91.709134
46.886308	91.819706
47.568285	91.931886
48.260181	92.045698
48.962142	92.161165
49.674312	92.278312
50.396842	92.394164
51.129881	92.495673
51.873582	92.598658
52.628101	92.703141
53.393594	92.809144
54.170222	92.916689
54.958146	93.025798
55.757531	93.136494
56.568542	93.248801
57.391351	93.362740
58.226127	93.478338
59.073046	93.552303
59.932283	93.599969
60.804018	93.648328
61.688433	93.697390
62.585712	93.679536
63.496042	93.626390
64.419613	93.572471
65.356618	93.517769
66.307252	93.462270
67.271713	93.473589
68.250203	93.592364
69.242925	93.712867
70.250086	93.835123
71.271897	93.950055
72.308571	94.054716
73.360323	94.160899
74.427374	94.268626
75.509945	94.377920
76.608262	94.488804
77.722555	94.601301
78.853056	94.715434
80.000000	94.831227
81.163627	94.948704
82.344179	95.067891
83.541903	95.188810
84.757048	95.261100
85.989867	95.296484
87.240619	95.332383
88.509563	95.368804
89.796964	95.405755
91.103091	95.443243
92.428216	95.481276
93.772615	95.519863
95.136569	95.559011
96.520362	95.598728
97.924283	95.639023
99.348625	95.679904
100.793684	95.721380
102.259762	95.763459
103.747164	95.806150
105.256202	95.849462
106.787188	95.893403
108.340444	95.937985
109.916292	95.983214
